"","circuitId","circuitRef","Circuit","location","country","lat","lng","alt","raceId","year","round","grand_prix","race_date","race_time"
"583",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,139,2002,16,"United States Grand Prix",2002-09-29,"\N"
"584",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,156,2001,16,"United States Grand Prix",2001-09-30,"\N"
"585",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,172,2000,15,"United States Grand Prix",2000-09-24,"\N"
"586",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,748,1960,3,"Indianapolis 500",1960-05-30,"\N"
"587",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,757,1959,2,"Indianapolis 500",1959-05-30,"\N"
"588",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,768,1958,4,"Indianapolis 500",1958-05-30,"\N"
"589",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,778,1957,3,"Indianapolis 500",1957-05-30,"\N"
"590",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,786,1956,3,"Indianapolis 500",1956-05-30,"\N"
"591",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,794,1955,3,"Indianapolis 500",1955-05-30,"\N"
"592",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,800,1954,2,"Indianapolis 500",1954-05-31,"\N"
"593",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,809,1953,2,"Indianapolis 500",1953-05-30,"\N"
"594",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,818,1952,2,"Indianapolis 500",1952-05-30,"\N"
"595",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,826,1951,2,"Indianapolis 500",1951-05-30,"\N"
"596",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,835,1950,3,"Indianapolis 500",1950-05-30,"\N"
"597",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,9,2009,9,"German Grand Prix",2009-07-12,"12:00:00"
"598",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,45,2007,10,"European Grand Prix",2007-07-22,"12:00:00"
"599",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,57,2006,5,"European Grand Prix",2006-05-07,"14:00:00"
"600",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,77,2005,7,"European Grand Prix",2005-05-29,"14:00:00"
"601",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,96,2004,7,"European Grand Prix",2004-05-30,"\N"
"602",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,116,2003,9,"European Grand Prix",2003-06-29,"\N"
"603",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,132,2002,9,"European Grand Prix",2002-06-23,"\N"
"604",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,149,2001,9,"European Grand Prix",2001-06-24,"\N"
"605",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,163,2000,6,"European Grand Prix",2000-05-21,"\N"
"606",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,188,1999,14,"European Grand Prix",1999-09-26,"\N"
"607",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,205,1998,15,"Luxembourg Grand Prix",1998-09-27,"\N"
"608",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,221,1997,15,"Luxembourg Grand Prix",1997-09-28,"\N"
"609",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,227,1996,4,"European Grand Prix",1996-04-28,"\N"
"610",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,253,1995,14,"European Grand Prix",1995-10-01,"\N"
"611",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,428,1985,9,"German Grand Prix",1985-08-04,"\N"
"612",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,450,1984,15,"European Grand Prix",1984-10-07,"\N"
"613",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,569,1976,10,"German Grand Prix",1976-08-01,"\N"
"614",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,586,1975,11,"German Grand Prix",1975-08-03,"\N"
"615",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,600,1974,11,"German Grand Prix",1974-08-04,"\N"
"616",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,615,1973,11,"German Grand Prix",1973-08-05,"\N"
"617",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,627,1972,8,"German Grand Prix",1972-07-30,"\N"
"618",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,638,1971,7,"German Grand Prix",1971-08-01,"\N"
"619",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,662,1969,7,"German Grand Prix",1969-08-03,"\N"
"620",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,674,1968,8,"German Grand Prix",1968-08-04,"\N"
"621",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,685,1967,7,"German Grand Prix",1967-08-06,"\N"
"622",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,695,1966,6,"German Grand Prix",1966-08-07,"\N"
